LocationName,LocationAddress,LocationPostcode,LocationContact,LocationGPHC,LocationODS
Whitworths Charles St,80b charles st,fy1 3jj,44000000000,123456,FM787
Whitworths Sandgate,31 Sandgate,fy42ng,44000000000,123456,FM787
Whitworths Kirkham,2a Church Street Kirkham,PR42SE,44000000000,123456,FM787
Whitworths Bloomfield,"93-99 Bloomfield road, Blackpool",FY1 6JN,44000000000,123456,FM787
Whitworths kingscote,"200 kingscote drive, blackpool",FY3 7EN,44000000000,123456,FM787
Whitworths Skegness,"12 Roman Bank, Skegness",PE252RU,44000000000,123456,FM787
Whitworths Beresford,17 Beresford Buildings,TS3 9NB,44000000000,123456,FM787
Whitworths Elswick ,132-136 Elswick Road,NE4 6SL,44000000000,123456,FM787
Whitworths Broomlane,70A- Broomlane,S60 3EW,44000000000,123456,FM787
Whitworths School,219 School Road,S10 1GN,44000000000,123456,FM787
Whitworths Cockfield,38 front street,dl13 5ds,44000000000,123456,FM787
Whitworths waterloo,292-294 waterloo Road,FY4 3AG,44000000000,123456,FM787
Whitworths Scunthorpe ,188 Ashby road,DN16 2AP,44000000000,123456,FM787
Whitworths Sheffield,Beighton Medical Centre Queens Road Beighton Sheffield,S20 1BJ,44000000000,123456,FM787
Whitworths Bedlington,35 Chatsworth Drive,NE22 5YS,44000000000,123456,FM787
Whitworths MELROSEGATE,275 MELROSEGATE,YO103SN,44000000000,123456,FM787
Whitworths Lancashire,3 The Parade Broadway Helmshore,bb4 4hd,44000000000,123456,FM787
Whitworths Charles St,80B Charles St Blackpool,FY1 3JJ,44000000000,123456,FM787
Whitworths Rotherham,"108 Broom valley road, Rotherham",s60 2qy,44000000000,123456,FM787
Whitworths Earby,"39 victoria road, Earby",bb18 6un,44000000000,123456,FM787
Whitworths Yarm,7 Healaugh Park,TS15 9XN,44000000000,123456,FM787
Whitworths Wrekenton,Wrekenton Health Centre,NE97AD,44000000000,123456,FM787
Whitworths Hull,"264 Bricknell Avenue, Hull",HU54QG,44000000000,123456,FM787
Whitworths South Shore,"300, Highfield Road, South Shore",FY4 3JU,44000000000,123456,FM787
Whitworths Richmond House,"4 RICHMOND HOUSE, LAWRENCE STREET",YO103FL,44000000000,123456,FM787
Whitworths Oldham,"57 Manchester Road, Oldham,",OL8 4LN,44000000000,123456,FM787
