LocationName,LocationAddress,LocationPostcode,LocationContact,LocationGPHC,LocationODS
Whitchurch Rd.  , 71 Whitchurch Road  ,CF14 3JP   ,02920 621 115,9010501,CP-602545F
Pontcanna.,171 Kings Road,CF11 9DE,02920 377 283,1063673,CP-602545G
South Park Rd.  , 7 South Park Road,CF24 2LU,02920 465 338,1119825,CP-602545K
Splott Rd. , 52 Splott Road  ,CF24 2DA,02920 462 012,1043744,CP-602545L
Vere Street.  , 9 Vere Street,CF63 2YE,01446 735 559,1043659,CP-602454I
Barry Rd.  , 8 Barry Road  ,CF63 1BA  ,01446 734 983 ,1043645,CP-602545J
Bridgend, 50 Nolton Street    ,CF31 3BP  ,01656 652 025,1087252,CP-605545A
Blaengwynfi.  ,53 Jersey Road  ,SA13 3TA,01639 850 317,1043805,CP-605545C
Cymmer.  , Station Road ,SA13 3HR  ,01639 850 238,1043810,CP-605545B
Crynant.  , 9 Station Road  ,SA10 8NW,01639 750 238,1043796,CP-605545D
Seven Sisters.  , Dulais Road  ,SA10 9EY  ,01639 700 271,1105163,CP-605545E
Cwmaman.   ,17 Glanaman Road  ,CF44 6HY  ,01685 870 564,1043472,CP-602545H
Dafen,2 Maescanner Road,SA14 8LR,01554 753470,1043276,CP-603594A
Hendy,1 Iscoed Road,SA4 0TP,01792 881234,1043848,CP-603595A
Llanishen,44 Station Road,CF14 5LT,02920 405003,1085762,CP-602545O
Brandon,110 Brandon Road,CV3 2JF,02476 449 642,1038215,FWF47
Green Lane,373 Green Lane,CV3 6EJ,02476 414 722,1038250,FPE13
University,Pharmacy Department,CV4 7AL,02476 572 860,1103783,FWD18
Abel,471 Stoney Stanton Road,CV6 5EA,02476 680 399,1038296,FN194
Edgwick,"Edgwick Medical Practice, ",CV6 5LL,02476 688 384,1110705,FRH78
Station St,17 Station Street East,CV6 5FL,02476 665 272,1038305,FA658
Woodland,47 Woodland Road,CV3 2JL,02476 544 073,1038321,FDP16
Wolston,12a School Street,CV8 3HF,02476 540 959,1109126,FXX19
Bosworth,Stables End Court,CV13 0JN,01455 290424,1037806,FR728
Kings Road,599 Kings Road,B44 9HN,0121 354 8048,1125425,FMP63
Old Oscott,158 Old Oscott Lane,B44 8TS,0121 360 5867,1126025,FJM76
Bakers,Sutton Park Surgery,B73 6SP,0121 353 9027,1038449,FHR24
Twickenham,9 Twickenham Road,B44 0NN,0121 373 2754,1038157,FKM17
Warren Farm,Aylesbury Surgery,B44 0DX,0121 384 2293,1103706,FHP80
Askers,Kingsfield Medical Center,B14 6AA,0121 444 6234,1081453,FHX90
Internet,6 Chester Raod,B73 5DA,0121 355 4200,1038436,FL227
Jockey,517 Jockey Road,B73 5DF,0121 355 2122,1107750,FRN17
Kingsbury,273 Kingsbury Road,B24 8RD,0121 377 6042,1038040,FR571
Rough Road,26 Rough Road,B44 0UY,0121 354 7176,1038104,FQF94
Quinton,5 Dwellings Lane,B32 1RJ,0121 421 6840,1037972,FYA78
Selcroft,Selcroft Avenue,B32 2BX,0121 427 6060,1038115,FD522
Dyas,6 Dyas Road,B44 8SF,0121 350 3958,1037973,FFR62
Pike,Pike Pharmacy,B19 1LH,0121 551 3814,1084861,FRG16
Blackheath,5 Clement Road,B62 9LR,0121 561 2905,1088473,FPG61
Long Lane,396 Long Lane,B65 0JF,0121 559 2579,1038672,FQE91
Queslett Road,526 Queslett Road,B43 7DY,0121 360 7570,1038101,FEG84
Lower Pharmacy,111 Buxton Road,WS3 3RT,01922 495188,1038469,FCV04
Dunns,31-33 Oxford Street,CV32 4RA,01926 424 796,1123206,FEJ77
Leegomery,Leegomery Local Centre,TF1 6XQ,01952 222 164,1107585,FPE75
Stonydelph,29 Ellerbeck,B77 4JA,01827 896 464,1037105,FK409
Shenstone,33b Main Street,WS14 0LZ,01543 481319,1036933,FXE34
