LocationName,LocationAddress,LocationPostcode,LocationContact,LocationGPHC,LocationODS
Bretts Pharmacy,2&3 High Street,BH24 2HP,01425470982,0123456,FDR54
H N Dickinson,192 Bexley Road,SE9 2PH,02088501138,0123456,FCG06
Paydens Pharmacy (Dexpharm),100 Bedford Hill,SW12 9HR,02086737646,0123456,FQY68
Paydens Ltd,126 - 128 Ashford Road,ME14 4LX,01622737713,0123456,FHF29
Paydens Ltd,399 - 401 Croydon Rd,BR3 3PR,02086508089,0123456,FAD85
Paydens Ltd,399 - 401 Croydon Rd,BR3 3PR,02086508089,0123456,FAD85
L J Collis & Co,9/11 St Leonards Road,TN40 1HJ,01424211341,0123456,FRA20
Paydens Pharmacy,"Birchington Medical Centre, Minnis Bay",CT7 9SF,01843846556,0123456,FGN90
Courts Pharmacy,67 - 69 Station Road,CT7 9RE,01843841143,0123456,FP984
Beechcroft Pharmacy,30 Tranquil Vale,SE3 0AX,02088520248,0123456,FY475
Bridge Pharmacy,High Street,CT4 5JY,01227831008,0123456,FNP04
Bridgman Pharmacy,"116 Cowley Drive, South Woodingdean",BN2 6TD,01273303273,0123456,FWK92
Westons Pharmacy,"6 - 7 Coombe Terrace, Lewes Road",BN2 4AD,01273605354,0123456,FTE26
Ashtons Pharmacy,98 Dyke Road,BN1 3JD,01273325020,0123456,FRA14
Neils Pharmacy,Gilles Health Care Centre,RG22 4EH,01256841119,0123456,FKG67
Paydens,15 The Broadway,CT10 2AD,01843862702,0123456,FD742
Wallace Pring Pharmacy,40 Chatterton Road,BR2 9QE,02084601897,0123456,FTK32
Scotts Pharmacy,7 High Street,BR1 1LF,02084603431,0123456,FVR97
Eckersley Pharmacy,2 Northgate,CT1 1WJ,01227453969,0123456,FVE32
Courts Pharmacy,New Hayesbank Surgery ,TN24 9JZ,01233622869,0123456,FYC81
Courts Pharmacy,New Hayesbank Surgery ,TN24 9JZ,01233622869,0123456,FYC81
Stephens Pharmacy,"7 The Ridgeway, Sherbourne Road",PO19 3LA,01243782695,0123456,FHX38
Woolls Pharmacy,Palm Bay Avenue,CT9 3NR,01843223775,0123456,FQQ44
Paydens,63 Lowfield Street,DA1 1HP,01322220779,0123456,FX082
West Hill Pharmacy,70 West Hill,DA1 2EU,01322276661,0123456,FWL74
Paydens Ltd,17 Queen Street,CT14 6ET,01304374143,0123456,FH237
Paydens Ltd,Canada Road,CT14 7EQ,01304373066,0123456,FPP49
Paydens Ltd,St Richards Rd,CT14 9LF,01304375751,0123456,FAJ20
Walmer Pharmacy,315 Dover Road,CT14 7NX,01304366862,0123456,FH350
Strand Pharmacy,51 The Strand,CT14 7DP,01304360030,0123456,FLM10
A A Beggs,32 Pencester Rd,CT16 1BW,01304205406,0123456,FQ951
Newman Pharmacy,82 Seaside,BN22 7QP,01323725860,0123456,FFE25
Millmans Pharmacy,56 High Street,TW20 9EX,01784432325,0123456,FVQ66
Paydens Pharmacy (Downs),33 Tattenham Cres,KT18 5QJ,01737354714,0123456,FPW56
Harrisons,1 Erith Town Square,DA8 1RE,01322332147,0123456,FL579
A Carlisle Pharmacy,13-14 Cross Lane,ME13 8PN,01795532784,0123456,FPH84
A Carlisle Pharmacy,13-14 Cross Lane,ME13 8PN,01795532784,0123456,FPH84
Baxter Pharmacy,164 Canterbury Road,CT9 5JW,01843224868,0123456,FMJ98
Darnley Pharmacy,17 Pelham Road,DA11 0HN,01474533528,0123456,FHT34
Darnley Pharmacy,17 Pelham Road,DA11 0HN,01474533528,0123456,FHT34
Paydens Pharmacy,25 High Street,BN27 1AN,01323840070,0123456,FHJ23
Seaforth Pharmacy,Vicarage Lane,BN27 1BH,01323841500,0123456,FD341
Halfway Pharmacy,8 Minster Road,ME12 3JD,01795662706,0123456,FPR88
Hawkhurst Pharmacy,1 The Colonade,TN18 4ES,01580753222,0123456,FH199
